ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM SUBCATEGORY,ITEM SPECIFIC CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0470685956,The Intelligent Company: Five Steps to Success with Evidence-Based Management 1st Edition,Bernard Marr,4.2,978-0470685952,0470685956,$37.08,$50.00,Business & Money,Management & Leadership,Temporarily out of stock. Order now and we'll deliver when available. Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item. Details,https://www.amazon.com/dp/0470685956,2.0,ASIN number not found
0812968255,Meditations: A New Translation First American PB Edition Edition,Marcus Aurelius,4.3,978-0812968255,0812968255,,,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/B01FOD7CRG,1.0,Original price not found
0060753676,"George Washington: The Founding Father (Eminent Lives) Paperback – May 5, 2009",Paul Johnson,4.1,978-0060753672,0060753676,$13.52,$14.99,Biographies & Memoirs,Leaders & Notable People,In Stock.,https://www.amazon.com/dp/0060753676,16.0,ASIN number not found
0062076256,"Civil War America: 1850-1870 Paperback – March 15, 2011",Paul Johnson,3.7,978-0062076250,0062076256,$10.00,$10.00,History,Americas,Only 3 left in stock (more on the way).,https://www.amazon.com/dp/0062076256,16.0,Original price not found
006236250X,"Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money Paperback – May 24, 2016",Nathaniel Popper,4.6,978-0062362506,006236250X,$10.87,$15.99,Business & Money,Biography & History,In Stock.,https://www.amazon.com/dp/006236250X,16.0,ISBN10 number error
0062390856,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are Hardcover – May 9, 2017",Seth Stephens-Davidowitz,4.3,978-0062390851,0062390856,$19.03,$27.99,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0062390856,16.0,ASIN number not found
0062435612,"Competing Against Luck: The Story of Innovation and Customer Choice Hardcover – October 4, 2016",Clayton M. Christensen,4.5,978-0062435613,0062435612,$18.71,$29.99,Business & Money,Industries,In Stock.,https://www.amazon.com/dp/0062435612,16.0,ASIN number not found
0066620996,"Good to Great: Why Some Companies Make the Leap and Others Don't Hardcover – Unabridged, October 16, 2001",Jim Collins,4.5,978-0066620992,0066620996,$16.59,$32.50,Business & Money,Biography & History,In Stock.,https://www.amazon.com/dp/0066620996,16.0,ISBN10 number error
0071392319,"The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer Hardcover – January 7, 2004",Jeffrey K. Liker,4.6,978-0071392310,0071392319,$23.41,$32.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0071392319,16.0,ASIN number not found
0132350882,Clean Code: A Handbook of Agile Software Craftsmanship 1st Edition,Robert C. Martin,4.2,978-0132350884,0132350882,$49.99,$49.99,Computers & Technology,Programming,Usually ships within 1 to 2 months.,https://www.amazon.com/dp/0132350882,16.0,Sale price not found
