ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM_SUBCATEGORY,ITEM_SPECIFIC_CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0809078813,Priceless: The Myth of Fair Value (and How to Take Advantage of It),William Poundstone,4.2,978-0809078813,0809078813,$11.37,$16.00,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/B019L4NJ1M,1.0,ASIN number not found
0812968255,Meditations: A New Translation,Marcus Aurelius - Gregory Hays,4.2,978-0812968255,0812968255,$10.45,$10.45,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/B01FOD7CRG,1.0,Original price not found
0809078813,Priceless: The Myth of Fair Value (and How to Take Advantage of It),William Poundstone,4.2,978-0809078813,0809078813,$11.40,$16.00,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/B019L4NJ1M,1.0,ASIN number not found
0812968255,Meditations: A New Translation,Marcus Aurelius - Gregory Hays,4.2,978-0812968255,0812968255,$10.45,$10.45,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/B01FOD7CRG,1.0,Original price not found
0231164688,What I Learned Losing a Million Dollars (Columbia Business School Publishing),Jim Paul - Brendan Moynihan - Jack Schwager - & - more,4.3,978-0231164689,0231164688,$21.90,$27.95,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/0231164688,5.0,ASIN number not found
0241338379,Origin Story: A Big History of Everything,David Christian,4.3,978-0241338377,0241338379,$16.00,$16.00,Uncategorized,Uncategorized,In Stock.,https://www.amazon.com/dp/0241338379,5.0,Category not found
026201856X,Harvesting the Biosphere: What We Have Taken from Nature (The MIT Press),Vaclav Smil,3.6,978-0262018562,026201856X,$32.00,$32.00,Engineering & Transportation,Engineering,Only 7 left in stock (more on the way).,https://www.amazon.com/dp/026201856X,5.0,Original price not found
0262019388,Made in the USA: The Rise and Retreat of American Manufacturing (MIT Press),Vaclav Smil,4.1,978-0262019385,0262019388,,,Business & Money,Biography & History,,https://www.amazon.com/dp/0262019388,5.0,Original price not found
0307271668,The Paper Trail: An Unexpected History of a Revolutionary Invention,Alexander Monro,3.5,978-0307271662,0307271668,$17.98,$30.00,Arts & Photography,Graphic Design,Only 5 left in stock - order soon.,https://www.amazon.com/dp/0307271668,5.0,ASIN number not found
0307407160,The Secret History of the Mongol Queens: How the Daughters of Genghis Khan Rescued His Empire,Jack Weatherford,4.4,978-0307407160,0307407160,$12.00,$16.00,Biographies & Memoirs,Historical,In Stock.,https://www.amazon.com/dp/0307407160,5.0,ASIN number not found
0307474410,Home Cooking: A Writer in the Kitchen (Vintage Contemporaries),Laurie Colwin,4.6,978-0307474414,0307474410,$12.80,$15.95,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/0307474410,5.0,Error in ISBN10
0307700763,"The Decline and Fall of the Roman Empire, Volumes 1 to 6 (Everyman's Library)",Edward Gibbon - Hugh Trevor-Roper,4.1,978-0307700766,0307700763,$122.36,$140.00,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/0307700763,5.0,ASIN number not found
0307719227,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu - James A. Robinson,4.3,978-0307719225,0307719227,$17.10,$19.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/0307719227,5.0,Error in ISBN10
0312364695,Xenophon's Cyrus the Great: The Arts of Leadership and War,Xenophon - Larry Hedrick,4.4,978-0312364694,0312364695,$14.38,$18.99,History,Ancient Civilizations,In Stock.,https://www.amazon.com/dp/0312364695,5.0,ASIN number not found
0312430000,The Checklist Manifesto: How to Get Things Right,Atul Gawande,4.5,978-0312430009,0312430000,$11.98,$17.00,Medical Books,Medicine,In Stock.,https://www.amazon.com/dp/0312430000,5.0,Error in ISBN10
0316796883,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,4.7,978-0316796880,0316796883,$10.44,$18.00,Biographies & Memoirs,Leaders & Notable People,In Stock.,https://www.amazon.com/dp/0316796883,5.0,ASIN number not found
0321348109,The Brand Gap: How to Bridge the Distance Between Business Strategy and Design,Marty Neumeier,4.3,978-0321348104,0321348109,$22.32,$29.99,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/0321348109,5.0,ASIN number not found
0321426770,Zag: The Number One Strategy of High-Performance Brands,Marty Neumeier,4.3,978-0321426772,0321426770,$28.45,$29.95,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/0321426770,5.0,ASIN number not found
0345472322,Mindset: The New Psychology of Success,Carol S. Dweck,4.5,978-0345472328,0345472322,$8.79,$17.00,"Health, Fitness & Dieting",Psychology & Counseling,In Stock.,https://www.amazon.com/dp/0345472322,5.0,Error in ISBN10
0385042353,My Years with General Motors,Alfred Sloan,4.1,978-0385042352,0385042353,$18.77,$23.00,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/0385042353,5.0,ASIN number not found
038534645X,Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland - JJ Sutherland,4.5,978-0385346450,038534645X,$21.60,$27.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/038534645X,5.0,ASIN number not found
0393081087,The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,4.8,978-0393081084,0393081087,$33.96,$49.95,"Cookbooks, Food & Wine",Cooking by Ingredient,In Stock.,https://www.amazon.com/dp/0393081087,5.0,ASIN number not found
0393318346,Thirteen Days: A Memoir of the Cuban Missile Crisis,Robert F. Kennedy - Arthur Meier Schlesinger,4.5,978-0393318340,0393318346,$8.48,$15.95,History,Military,In Stock.,https://www.amazon.com/dp/0393318346,5.0,ASIN number not found
0393337642,Naked Economics: Undressing the Dismal Science (Fully Revised and Updated),Charles Wheelan - Burton G. Malkiel,4.5,978-0393337648,0393337642,$11.52,$16.95,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/0393337642,5.0,Error in ISBN10
0393354350,Platform Revolution: How Networked Markets Are Transforming the Economy and How to Make Them Work for You,Geoffrey G. Parker - Marshall W. Van Alstyne - Sangeet Paul Choudary - & - more,4.7,978-0393354355,0393354350,$12.20,$17.95,Business & Money,Small Business & Entrepreneurship,In Stock.,https://www.amazon.com/dp/0393354350,5.0,Error in ISBN10
0393355470,Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,4.6,978-0393355475,0393355470,$10.97,$15.95,"New, Used & Rental Textbooks",Science & Mathematics,In Stock.,https://www.amazon.com/dp/0393355470,5.0,Error in ISBN10
0393356183,Norse Mythology,Neil Gaiman,4.4,978-0393356182,0393356183,$11.96,$15.95,Literature & Fiction,Literary,In Stock.,https://www.amazon.com/dp/0393356183,5.0,Error in ISBN10
039472903X,Ogilvy on Advertising,David Ogilvy,4.5,978-0394729039,039472903X,$22.76,$27.50,Arts & Photography,Graphic Design,In Stock.,https://www.amazon.com/dp/039472903X,5.0,ASIN number not found
